Constit,Male,Female,Mean_age
Aberdeen Central,42985,40291,36.27237161
Aberdeen Donside,39448,41387,40.76400533
Aberdeen South and North Kincardine,39577,41384,40.74764142
Aberdeenshire East,40369,40888,41.63296502
Aberdeenshire West,37785,38339,42.179495
Airdrie and Shotts,34268,36144,40.36103225
Almond Valley,42994,44252,39.77740933
Angus North and Mearns,34694,35881,43.12840595
Angus South,35427,37508,44.06028138
Argyll and Bute,29207,30508,46.29576584
Ayr,35552,39229,45.49528698
Banffshire and Buchan Coast,37224,37659,42.44007319
"Caithness, Sutherland and Ross",34257,35234,44.98346855
"Carrick, Cumnock and Doon Valley",36951,39067,43.55998143
Clackmannanshire and Dunblane,33321,35017,42.03810591
Clydebank and Milngavie,33645,36338,42.36841346
Clydesdale,35784,37419,43.38396375
Coatbridge and Chryston,35373,38088,39.92125822
Cowdenbeath,35519,36783,41.7458957
Cumbernauld and Kilsyth,30731,33293,41.11110762
Cunninghame North,32635,35990,45.2058685
Cunninghame South,31212,34413,41.48743002
Dumbarton,35908,36679,42.39463968
Dumfriesshire,37064,38722,45.2552633
Dundee City East,34132,36777,40.83220416
Dundee City West,37685,40226,38.07436156
Dunfermline,38131,40130,41.14788651
East Kilbride,37618,39972,41.80288211
East Lothian,39398,42183,42.76095396
Eastwood,34494,37225,41.02093171
Edinburgh Central,46655,49390,35.70019369
Edinburgh Eastern,43118,46508,39.99055478
Edinburgh Northern and Leith,47895,48282,37.96308844
Edinburgh Pentlands,39066,38930,39.79575854
Edinburgh Southern,39361,42360,38.9132845
Edinburgh Western,41549,44506,40.59611532
"Ettrick, Roxburgh and Berwickshire",32962,34696,45.97221932
Falkirk East,39304,41363,41.60992961
Falkirk West,39341,40552,41.5466744
Galloway and West Dumfries,35111,37393,45.40795347
Glasgow Anniesland,35900,39159,39.19365024
Glasgow Cathcart,36159,38696,39.87676814
Glasgow Kelvin,48058,47899,33.83079464
Glasgow Maryhill and Springburn,37151,38281,38.79060741
Glasgow Pollok,38851,43012,38.82549823
Glasgow Provan,37518,40506,38.07316129
Glasgow Shettleston,40381,41526,38.45342331
Glasgow Southside,37824,34719,37.11464155
Greenock and Inverclyde,34464,37392,42.86510198
"Hamilton, Larkhall and Stonehouse",36025,38505,41.42203111
Inverness and Nairn,43964,46068,41.95586553
Kilmarnock and Irvine Valley,40051,42890,41.90257556
Kirkcaldy,37987,40639,41.91357169
Linlithgow,47374,49200,40.16534998
Mid Fife and Glenrothes,33674,35710,42.57428364
Midlothian North and Musselburgh,41686,45523,40.28507906
"Midlothian South, Tweeddale and Lauderdale",38652,41190,42.28797688
Moray,40025,40499,42.75363936
Motherwell and Wishaw,37125,39227,40.72823365
Na h-Eileanan an Iar,13071,13429,45.55636252
North East Fife,36438,39119,42.46207118
Orkney Islands,11159,11241,44.44684116
Paisley,35357,37361,41.28672871
Perthshire North,36112,36556,44.73759507
Perthshire South and Kinross-shire,38682,40560,43.19205966
Renfrewshire North and West,32189,34458,42.20355779
Renfrewshire South,33253,36317,41.38266207
Rutherglen,37296,40523,41.10626988
Shetland Islands,11612,11258,42.07941475
"Skye, Lochaber and Badenoch",37215,38692,44.40754567
Stirling,37155,39877,41.34366658
Strathkelvin and Bearsden,38878,41357,42.74791787
Uddingston and Bellshill,36176,38393,40.72963572
